conversation_id_str,full_text,created_at,full_text_preprocessed,Topik
1.983701234898121e+18,@LembagaKERIS Kalian kerjanya apa @Menlu_RI diplomasi kalian spt apa. Liat itu WNI. Di perlakukan spt itu.,2025-10-30 15:31:01+00:00,lembagakeris kerjanya menlu_ri diplomasi spt wni perlakukan spt,7
1.9838038211857208e+18,@Menlu_RI @kanghunsik_ Bertemu tidak level bukan pihak yang membuat kebijakan.,2025-10-30 15:35:34+00:00,menlu_ri kanghunsik_ bertemu tidak level bukan kebijakan,0
1.983916943192052e+18,@tanganjojo @Menlu_RI Kepada @Araghutama,2025-10-30 16:04:51+00:00,tanganjojo menlu_ri araghutama,0
1.9838211305166075e+18,@BobTeuku96933 @prabowo @Kemlu_RI @Menlu_RI @Gerindra @DPR_RI Mancing sambil ngopi lah kita kek mana wak @muhammadleo68,2025-10-30 16:16:45+00:00,bobteuku prabowo kemlu_ri menlu_ri gerindra dpr_ri mancing ngopi kek wak muhammadleo,0
1.983842724324504e+18,@Boediantar4 Bapak Presiden Negara Republik Indonesia Bapak Jendral @prabowo Bapak Menteri Pertahanan Bapak Jendral @sjafriesjams Bapak Menteri Luar Negeri Bapak Sugiono @Menlu_RI Kedaulatan Kita dilautan sudah pernah dihabisi perampok Pelaut Berbendera Asing pada Akhir 2024 masih teringat https://t.co/di4DmHtXjW,2025-10-30 16:45:20+00:00,boediantar presiden negara republik indonesia jendral prabowo menteri pertahanan jendral sjafriesjams menteri negeri sugiono menlu_ri kedaulatan dilautan dihabisi perampok pelaut berbendera asing,18
1.983943388039725e+18,Web kemenlu kebiasaan deh giliran gue butuh malah load lama or crash,2025-10-30 17:05:38+00:00,web kemenlu kebiasaan giliran butuh load crash,1
1.9837738313293865e+18,@AsahPolaPikir @MbahDila76 Adalah kewajiban negara/ @Kemlu_RI @Menlu_RI untuk melindungi semua WNI diluar negeri. Kalau perlu tegur dubes Kamboja di Jakarta untuk selalu baik memperlakukan WNI secara baik. CC: @DPR_RI @KomnasHAM @NataliusPigai2 jangan diem aja dong.,2025-10-30 19:46:31+00:00,asahpolapikir mbahdila kewajiban negara kemlu_ri menlu_ri melindungi wni diluar negeri tegur dubes kamboja jakarta memperlakukan wni dpr_ri komnasham nataliuspigai jangan diem,0
1.9837570477210383e+18,@tanyarlfes Negara / @Kemlu_RI @Menlu_RI @DPR_RI wajib melindungi WNI di luar negeri. CC: @KomnasHAM @NataliusPigai2 jangan diem aja kenapa.,2025-10-30 19:59:58+00:00,tanyarlfes negara kemlu_ri menlu_ri dpr_ri wajib melindungi wni negeri komnasham nataliuspigai jangan diem,4
1.9839988156247368e+18,Kami berkomitmen akan terus bekerja sama menciptakan hubungan yang memberikan manfaat maksimal bagi masyarakat kedua negara. #inidiplomasi #anismatta #kuwait #kabinetmerahputih #kemlu #kemenlu #danantara,2025-10-30 20:47:02+00:00,berkomitmen menciptakan hubungan manfaat maksimal masyarakat negara inidiplomasi anismatta kuwait kabinetmerahputih kemlu kemenlu danantara,-1
1.9840621709011768e+18,@prabowo @Menlu_RI Ini kejadian terhadap pencari kerja Indonesia yg terjebak dan jadi korban human traficking di kamboja....apakah pemerintah akan tutup mata/ mengabaikan saja kehidupan / keamanan rakyat nya ?,2025-10-31 00:57:38+00:00,prabowo menlu_ri kejadian pencari kerja indonesia terjebak korban human traficking kamboja pemerintah tutup mata mengabaikan kehidupan keamanan rakyat,0
1.984062767993607e+18,Menlu Sugiono Dorong Kerja Sama Digital yang Inklusif Lewat Forum APEC di Korsel Menteri Luar Negeri Sugiono mendorong terjalinnya kerja sama digital untuk membangun kawasan Asia-Pasifik yang inovatif berkelanjutan dan inklusif. Dia menyatakan kawasan Asia-Pasifik https://t.co/srVDDct8we,2025-10-31 01:00:00+00:00,menlu sugiono dorong kerja digital inklusif forum apec korsel menteri negeri sugiono mendorong terjalinnya kerja digital membangun kawasan asia pasifik inovatif berkelanjutan inklusif kawasan asia pasifik,0
1.9833888870127823e+18,@jasukeluhur @jacobincambodia @Kemlu_RI @prabowo @Menlu_RI Solusi damai wkwk lihat USA lindungi warga dari Narkoba di hajar langsung di depan rumah org lain penyelundupnya kita lihat macan atau pecundang.,2025-10-31 02:12:56+00:00,jasukeluhur jacobincambodia kemlu_ri prabowo menlu_ri solusi damai wkwk lihat usa lindungi warga narkoba hajar langsung rumah org penyelundupnya lihat macan pecundang,0
1.9837621864986831e+18,@ridwanhr mustinya kemenlu berlakukan travel warning ke Kamboja Laos &amp; Myanmar.,2025-10-31 02:17:41+00:00,ridwanhr mustinya kemenlu berlakukan travel warning kamboja laos amp myanmar,0
1.9840920230755164e+18,Menlu Sugiono menjadi salah 1 pembicara di KTT Asean-India ke-22 di Kuala Lumpur Malaysia. Dlm pidatonya Sugiono berbicara peluang Indonesia &amp; India bekerja sama dlm mengerjakan program Makan Bergizi Gratis Pertemuan berlangsung Minggu (26/10) ini dihadiri PM India https://t.co/lczgf90BpI,2025-10-31 02:56:15+00:00,menlu sugiono salah pembicara ktt asean india kuala lumpur malaysia dlm pidatonya sugiono berbicara peluang indonesia amp india dlm program makan bergizi gratis pertemuan minggu dihadiri india,0
1.984092542192005e+18,@Menlu_RI ga berani pak?,2025-10-31 02:58:19+00:00,menlu_ri berani,0
1.984098631247688e+18,Menlu Sugiono mewakili Presiden Prabowo Subianto dalam KTT ASEAN-India ke-22 di Kuala Lumpur Malaysia. Dalam pidatonya Sugiono menyoroti peluang kerja sama antara Indonesia dan India dalam program MBG. _ https://t.co/ijkXOYepu1,2025-10-31 03:22:31+00:00,menlu sugiono mewakili presiden prabowo subianto ktt asean india kuala lumpur malaysia pidatonya sugiono menyoroti peluang kerja indonesia india program mbg,0
1.98410178983123e+18,Program Makan Bergizi Gratis (MBG) kini membuka peluang kolaborasi dengan India seperti disampaikan Menlu Sugiono dalam KTT di Malaysia. Kerja sama ini memperkuat misi bersama dalam ketahanan pangan gizi anak dan pembangunan manusia unggul di kawasan. https://t.co/r7szN7ynEI,2025-10-31 03:35:04+00:00,program makan bergizi gratis mbg membuka peluang kolaborasi india menlu sugiono ktt malaysia kerja memperkuat misi ketahanan pangan gizi anak pembangunan manusia unggul kawasan,8
1.98410806995814e+18,Terkait peluang kerjasama dengan India terkait pelaksanaan program MBG seperti yg disampaikan Menlu Sugiono saat Pertemuan KTT ASEAN-India di Malaysia Kepala BGN menyampaikan kerjasama dimungkinkan terkait peningkatan kualitas pelayanan pengawasan dan pengembangan institusi. https://t.co/Z8r1eZ9mTi,2025-10-31 04:00:01+00:00,terkait peluang kerjasama india terkait pelaksanaan program mbg menlu sugiono pertemuan ktt asean india malaysia kepala bgn kerjasama terkait peningkatan kualitas pelayanan pengawasan pengembangan institusi,-1
1.984108098806833e+18,Menlu Sugiono di KTT ASEAN India: Indonesia &amp; India sepakat berkolaborasi dalam program Makan Bergizi Gratis (MBG). India punya pengalaman hebat lewat program makan siang sekolah Indonesia membawa semangat baru lewat MBG agar tak ada lagi anak yang belajar dengan perut https://t.co/ptG1ag6FLj,2025-10-31 04:00:08+00:00,menlu sugiono ktt asean india indonesia amp india sepakat berkolaborasi program makan bergizi gratis mbg india pengalaman hebat program makan siang sekolah indonesia membawa semangat mbg anak belajar perut,8
1.9840508781193423e+18,@sjafriesjams Siap kanda!Sukses&amp;sehat selalu kanda menteri @Kemhan_RI @sjafriesjams Laporan: Catatan Geopolitik Internasional Petani: Indonesia Menuju Lumbung Pangan Dunia yang Damai: https://t.co/pYUrOlj7xo #SDMPetaniUnggul #PetaniGoDigital cc:Presiden @prabowo &amp; mas @Menlu_RI 🇮🇩,2025-10-31 04:44:58+00:00,sjafriesjams kanda sukses amp sehat kanda menteri kemhan_ri sjafriesjams laporan catatan geopolitik internasional petani indonesia lumbung pangan dunia damai sdmpetaniunggul petanigodigital presiden prabowo amp mas menlu_ri,8
1.984135733050012e+18,terpantau akun ig menlu posting 2 short video selama APEC kmrn. trus pakai lagu Bangtan. komentarnya isinya army semua .,2025-10-31 05:49:56+00:00,terpantau akun menlu posting short video apec kmrn trus pakai lagu bangtan komentarnya isinya army,0
1.984115742359614e+18,@kompascom Ada yg paham dgn diplomasi nggak disitu? Tim menlu nya capek banget gendong tim kosongan begini,2025-10-31 06:52:41+00:00,kompascom paham dgn diplomasi disitu tim menlu capek gendong tim kosongan,17
1.984117481833952e+18,@DivHumas_Polri Kerja sama pak polisi sama Kemenlu Arab Saudi semoga lancar dan sukses! ,2025-10-31 07:28:33+00:00,divhumas_polri kerja polisi kemenlu arab saudi semoga lancar sukses,-1
1.984239680326648e+18,presiden u pilih menlu org partai,2025-10-31 12:42:59+00:00,presiden pilih menlu org partai,0
1.9841847059951908e+18,@GheaJhanaLie7 @prabowo Negara/@Kemlu_RI @Menlu_RI @DPR_RI harus lindungi WNI di Kamboja klo perlu usir Dubes Kamboja di Jakarta bila negaranya gak bisa perlakukan WNI secara baik.,2025-10-31 12:49:12+00:00,gheajhanalie prabowo negara kemlu_ri menlu_ri dpr_ri lindungi wni kamboja klo usir dubes kamboja jakarta negaranya gak perlakukan wni,0
1.984163642108212e+18,@Zaindamai @LanangJagad31 @KangManto123 @setkabgoid @Menlu_RI Menurut Henley Passport Index 2025 paspor Singapura menduduki peringkat 1 dunia dengan akses visa-free ke 195 destinasi. Paspor Malaysia berada di peringkat 12 dengan 180 akses sementara paspor Indonesia di peringkat 70 hanya 73 akses. Indonesia masih tertinggal jauh tapi,2025-10-31 12:55:10+00:00,zaindamai lanangjagad kangmanto setkabgoid menlu_ri henley passport index paspor singapura menduduki peringkat dunia akses visa free destinasi paspor malaysia peringkat akses paspor indonesia peringkat akses indonesia tertinggal,0
1.9842463021595896e+18,@prabowo Asli ana demen foto yg Pak @prabowo sama Menlu sama sama Pake Peci Hitam. Peci khas Indonesia Peci Perjuangan Dan.. Peci kami Muslim ke Masjid.,2025-10-31 13:15:01+00:00,prabowo asli ana demen foto prabowo menlu pake peci hitam peci khas indonesia peci perjuangan peci muslim masjid,0
1.983598560877908e+18,@amusingamused @barengwarga Korban Arya pangayunan Kemenlu itu pasti ada kaitannya..hrus nya lgs dong bawa polisi ksana ga syg warga sendiri Indonesia,2025-10-31 13:21:08+00:00,amusingamused barengwarga korban arya pangayunan kemenlu kaitannya hrus lgs bawa polisi ksana syg warga indonesia,0
1.984259435066512e+18,Orang indo di Kamboja tu video uda viral kemana mana tapi gaonok tindak lanjut sama sekali. Masio mereka gateli berangkat kesono kan yo juga WNI (?) gak sakno ta iki bapak YTH kemenlu ke mereka min @Gerindra ? Bertanya kak.,2025-10-31 14:01:29+00:00,indo kamboja video uda viral gaonok tindak masio gateli berangkat kesono wni gak sakno iki yth kemenlu min gerindra kak,0
1.984274752379499e+18,Ekspresi menlu RI sangat mewakili ,2025-10-31 15:02:21+00:00,ekspresi menlu mewakili,1
1.984273478493848e+18,Dm prabowo kode dm menlu Lama kode Yaudah tp kan lebih banyak hujatan dan ujian meskipun Ada bodyguard juga,2025-10-31 15:02:21+00:00,prabowo kode menlu kode yaudah hujatan ujian bodyguard,0
1.9842815802870088e+18,Reuters: Menlu Ukraina menyebut Rusia menembakkan misil jelajah Novator 9M729 (SSC-8) ke wilayah negaranya dari 21 Agustus hingga saat ini sudah digunakan 23x. Sepasang 9M729 juga disebut diluncurkan thn 2022 lalu. https://t.co/WTMjooCpKs https://t.co/YZOKRBdhet,2025-10-31 15:29:29+00:00,reuters menlu ukraina menyebut rusia menembakkan misil jelajah novator ssc wilayah negaranya agustus sepasang diluncurkan thn,13
1.983509316754891e+18,@zalkad @eiffrel yahhh bang china warganya lapor dipalak petugas imigrasi soeta aja langsung kerja kedubesnya nyuratin kemenlu,2025-10-31 16:27:50+00:00,zalkad eiffrel yahhh bang china warganya lapor dipalak petugas imigrasi soeta langsung kerja kedubesnya nyuratin kemenlu,-1
1.9844054053811328e+18,@NephilaXmus @Yusrilihza_Mhd @ASEAN Negara / @Kemlu_RI @Menlu_RI @DPR_RI kalian makan gaji buta klo liat WNI di Kamboja dan negara lainya diperlakukan tdk baik tapi gak mau melindungi maksimal. Bill Clinton aja marah besar hanya gegara ABG AS akan dicambuk rotan di singapo gegara Corat coret tembok pake Pylox.,2025-11-01 01:19:54+00:00,nephilaxmus yusrilihza_mhd asean negara kemlu_ri menlu_ri dpr_ri makan gaji buta klo wni kamboja negara lainya diperlakukan tdk gak melindungi maksimal bill clinton marah gegara abg dicambuk rotan singapo gegara corat coret tembok pake pylox,0
1.98427650649188e+18,@masjalah Prabowo kemenlu Bin harusnya bertindak.,2025-11-01 01:51:30+00:00,masjalah prabowo kemenlu bin bertindak,1
1.9844501819628751e+18,KBRI sama @Menlu_RI woi gerak napa..,2025-11-01 02:39:27+00:00,kbri menlu_ri woi gerak napa,0
1.984453637926687e+18,Halo @Kemlu_RI @Menlu_RI ini jelas2 penyekapan WNI di Kamboja tidak ada tindak lanjut? mana perlindungannya?,2025-11-01 02:53:11+00:00,halo kemlu_ri menlu_ri penyekapan wni kamboja tidak tindak perlindungannya,0
1.9844557297939412e+18,Menlu Estonia Desak Tekanan Internasional terhadap Israel untuk Akhiri Bencana Kemanusiaan di Gaza https://t.co/TvBzQAzi3k lewat @PInfopalestina,2025-11-01 03:01:30+00:00,menlu estonia desak tekanan internasional israel bencana kemanusiaan gaza pinfopalestina,9
1.9844656940258225e+18,Kemenkum dan Kemenlu Perkuat Diplomasi Terkait Proposal Indonesia di Bidang Royalti Selengkapnya: https://t.co/JhKAOjZmsR #DJKI #KekayaanIntelektual #KementerianHukum #HakCipta #LayananHukumMakinMudah #SetahunBerdampak https://t.co/N0ojROl0IG,2025-11-01 03:41:05+00:00,kemenkum kemenlu perkuat diplomasi terkait proposal indonesia bidang royalti selengkapnya djki kekayaanintelektual kementerianhukum hakcipta layananhukummakinmudah setahunberdampak,0
1.9844699626319132e+18,diplomat kemenlu yg kerjanya bantu wni seperti mereka aja dibunbun dan sampe skrg gk ada kejelasan kasusnyaa. Semenyeramkan itu emang tinggal di negara ini.,2025-11-01 03:58:03+00:00,diplomat kemenlu kerjanya bantu wni dibunbun sampe skrg kejelasan kasusnyaa semenyeramkan emang tinggal negara,7
1.9841936733665364e+18,@Menlu_RI @prabowo @chrisluxonmp wajahnya pada ceria ya moga didapat kesepakatan yg menguntungkan rakyat kedua negara https://t.co/qht8l0vJ3G,2025-11-01 04:37:00+00:00,menlu_ri prabowo chrisluxonmp wajahnya ceria moga kesepakatan menguntungkan rakyat negara,0
1.9844820833861143e+18,@djki_kemenkum Kemenkum dan Kemenlu Perkuat Diplomasi Terkait Proposal Indonesia di Bidang Royalti Selengkapnya: https://t.co/prL3F3zesN #DJKI #KekayaanIntelektual #KementerianHukum #HakCipta #LayananHukumMakinMudah #SetahunBerdampak https://t.co/SMoeQxhdQN,2025-11-01 04:46:13+00:00,djki_kemenkum kemenkum kemenlu perkuat diplomasi terkait proposal indonesia bidang royalti selengkapnya djki kekayaanintelektual kementerianhukum hakcipta layananhukummakinmudah setahunberdampak,0
1.984491506246566e+18, Terdapat total 231 WNI yang telah terlapor melalui berbagai jalur informasi dengan status lokasi penempatan serta tingkat kerentanan yang berbeda-beda tulis pernyataan resmi Kemenlu RI. Baca selengkapnya https://t.co/nqzOmuisx9 ~AM #Scam #WNI #Myanmar https://t.co/fnOTTaPwVw,2025-11-01 05:23:39+00:00,total wni terlapor jalur informasi status lokasi penempatan tingkat kerentanan berbeda beda tulis pernyataan resmi kemenlu baca selengkapnya scam wni myanmar,-1
1.984502205815399e+18,Gubernur Wayan Koster Terima Wakil Menlu Bulgaria Bahas Kerja Sama Budaya hingga Pendidikan https://t.co/oYf01GHHIb\ #Suasanahangat #WakilMenteriLuarNegeriBulgaria #lintassektor #memperkuathubunganbudaya #bitvonline,2025-11-01 06:06:10+00:00,gubernur wayan koster terima wakil menlu bulgaria bahas kerja budaya pendidikan suasanahangat wakilmenteriluarnegeribulgaria lintassektor memperkuathubunganbudaya bitvonline,0
1.9845109634927744e+18,Gak peduli ada menlu di situ wkwkwkwkkwkwkwkwkwkwkwkw maen tabrak gas ngeng. Ambil aja bu plz,2025-11-01 06:40:58+00:00,gak peduli menlu situ wkwkwkwkkwkwkwkwkwkwkwkw maen tabrak gas ngeng ambil plz,0
1.984215696348529e+18,@dennyindrayana Prospek karier bagi para mahasiswa FH birokrasi -diberbagai Kementrian TNI/Polri terbanyak diserap di kejaksaan kemhumham ELITE jadi diplomat/birokrat di Kemenlu -Pemda bukan birokrasi tetapi profesinya dibawah sumpah Notaris Pengacara Jurnalis tidak dibawah sumpah,2025-11-01 07:15:27+00:00,dennyindrayana prospek karier mahasiswa birokrasi diberbagai kementrian tni polri diserap kejaksaan kemhumham elite diplomat birokrat kemenlu pemda bukan birokrasi profesinya dibawah sumpah notaris pengacara jurnalis tidak dibawah sumpah,7
1.9845219415591936e+18,Bismillah mari bangun kembali Gaza. Alhamdulillah hari ini 1 Nov Launching Bulan Solidaritas Palestina 2025 di DPR. Kolaborasi DPR BKSAP dgn AWG ratusan relawan Indonesia akan bekerjasama membangun kembali Palestina bersama rakyat Indonesia. Terimakasih @Menlu_RI @DPR_RI. https://t.co/3Nkcs9SGxo,2025-11-01 07:24:36+00:00,bismillah bangun gaza alhamdulillah nov launching solidaritas palestina dpr kolaborasi dpr bksap dgn awg ratusan relawan indonesia bekerjasama membangun palestina rakyat indonesia terimakasih menlu_ri dpr_ri,9
1.9845369443707287e+18,Prabowo Minta Menlu Segera Atur Kunjungan Kenegaraan ke Korea Selatan https://t.co/9b466fdUeJ https://t.co/Eu7U05eChG,2025-11-01 08:24:13+00:00,prabowo menlu atur kunjungan kenegaraan korea selatan,0
1.984537645679096e+18,Momen PM Jepang Dekati Prabowo Sampai Geser Kursi saat RI1 Sibuk Menulis di KTT APEC Dipantau Menlu Terekam momen kebersamaan antara PM Jepang Sanae Takaichi dengan Presiden Prabowo Subianto di KTT APEC. PM Jepang terlihat menggeser kursinya mendekati Prabowo dan berbincang https://t.co/HzCRJX6K59,2025-11-01 08:27:00+00:00,momen jepang dekati prabowo geser kursi sibuk menulis ktt apec dipantau menlu terekam momen kebersamaan jepang sanae takaichi presiden prabowo subianto ktt apec jepang menggeser kursinya mendekati prabowo berbincang,-1
1.984540377567876e+18,Kericuhan di Kota Bavet Kamboja terjadi saat puluhan WNI kabur dari kompleks online scam. Kemenlu RI pastikan 110 WNI berhasil diamankan. https://t.co/0jFy5JlZzH,2025-11-01 08:37:51+00:00,kericuhan kota bavet kamboja puluhan wni kabur kompleks online scam kemenlu pastikan wni berhasil diamankan,-1
1.9845181035655867e+18,@midhangste Urusan tempe langka lapor ke mana ya? Menteri Pertanian atau Menteri Perdagangan atau Menteri Koperasi atau Menteri UMKM? Jangan2 lapor ke Menlu kan kedelainya impor dari AS.,2025-11-01 08:51:40+00:00,midhangste urusan tempe langka lapor menteri pertanian menteri perdagangan menteri koperasi menteri umkm jangan lapor menlu kedelainya impor,0
1.984361775698203e+18,@Megatron_ron @Kemlu_RI @Menlu_RI @anismatta,2025-11-01 11:54:42+00:00,megatron_ron kemlu_ri menlu_ri anismatta,0
1.9845984615941576e+18,🇴🇲🇮🇷🇦🇪| Menlu Oman: GCC perlu segera mengubah kebijakan lamanya yang mengizinkan isolasi Iran. Oman telah lama mengharapkan mekanisme dialog yang lebih komprehensif dengan semua negara di kawasan termasuk Iran Irak &amp; Yaman. https://t.co/PpK4j30POG,2025-11-01 12:28:39+00:00,menlu oman gcc mengubah kebijakan mengizinkan isolasi iran oman mengharapkan mekanisme dialog komprehensif negara kawasan iran irak amp yaman,13
1.984602421256209e+18,Bertemu Menlu Finlandia Menko AHY jajaki peluang kolaborasi strategis antar negara https://t.co/GYZPP1VveA,2025-11-01 12:44:24+00:00,bertemu menlu finlandia menko ahy jajaki peluang kolaborasi strategis negara,-1
1.98446831190483e+18,@boysyahbana @prabowo @sjafriesjams Cc:@Menlu_RI @gopurwandi @DPR_RI @sahaL_AS @puanmaharani_ri @buruhmigran1 @UNODC @UNODC_HTMSS.,2025-11-01 14:05:41+00:00,boysyahbana prabowo sjafriesjams menlu_ri gopurwandi dpr_ri sahal_as puanmaharani_ri buruhmigran unodc unodc_htmss,0
1.9845093523724736e+18,@LimSianSeeEric Mungkin sesuai kata pepatah Jangan terlalu memuja... Padahal kedua pejabat tsb setara sama-sama kepala pemerintahan dan kepala negara. Tapi tak apalah justru memperlihatkan Menlu China itu kekanakan.,2025-11-01 14:42:01+00:00,limsianseeeric sesuai pepatah jangan memuja pejabat tsb setara kepala pemerintahan kepala negara apalah menlu china kekanakan,-1
1.9844642400660936e+18,@DaveFreak @sahaL_AS Gk bisa kayaknya om di videonya juga dijelasin klo konstitusi Amerika mengharuskan Capres harus natural born citizen. Mamdani lahir di Uganda. Tapi klo mau isi jabatan strategis mungkin bisa. Menlu kah senat kah bisa aja.,2025-11-01 14:48:20+00:00,davefreak sahal_as kayaknya videonya dijelasin klo konstitusi amerika mengharuskan capres natural born citizen mamdani lahir uganda klo isi jabatan strategis menlu senat,0
1.984656464670311e+18,Kemenlu harus bersuara termasuk di Nigeria dan juga membuat konten edukasi yang membatu masyarakat untuk membaca peristiwa ini. Termasuk Prodi HI.,2025-11-01 16:19:08+00:00,kemenlu bersuara nigeria konten edukasi membatu masyarakat membaca peristiwa prodi,0
1.98466889475018e+18,Ricuh Demo Pemilu Tanzania Kemenlu Pantau Keselamatan WNI https://t.co/YfNWnQHiHV,2025-11-01 17:08:32+00:00,ricuh demo pemilu tanzania kemenlu pantau keselamatan wni,0
1.984574274028655e+18,@Menlu_RI @prabowo Klw rewel tendang aja Drakor plastik Atau stop batubara ,2025-11-01 17:21:46+00:00,menlu_ri prabowo klw rewel tendang drakor plastik stop batubara,0
1.9847458225596173e+18,Momen Menko AHY Sambut Menlu Finlandia Ini yang Dibahas https://t.co/AOtdfCPlVG,2025-11-01 22:14:13+00:00,momen menko ahy sambut menlu finlandia dibahas,-1
1.984773492974502e+18,Kehadiran kami di forum ini mempertegas komitmen Pemerintah Indonesia dalam mewujudkan stabilitas dan perdamaian di kawasan Timur Tengah. #inidiplomasi #bahrain #kemlu #kemenlu #anismatta #manamadialogue,2025-11-02 00:04:59+00:00,kehadiran forum mempertegas komitmen pemerintah indonesia mewujudkan stabilitas perdamaian kawasan timur inidiplomasi bahrain kemlu kemenlu anismatta manamadialogue,0
1.984773824894944e+18,2. @RetnoLPMarsudi merupakan @Menlu_RI sangat anti ISLAM karena dari sikap dan perbuatana bisa ditemukan dengan kasat mata. Kalaupun dia bela PALESTINA itu hanya pencitraan saja agar diangkat kembali jadi @Menlu_RI dalam kabinet Merah Putih. @RetnoLPMarsudi sanagat kuciwa sekali,2025-11-02 00:05:30+00:00,retnolpmarsudi menlu_ri anti islam sikap perbuatana ditemukan kasat mata bela palestina pencitraan diangkat menlu_ri kabinet merah putih retnolpmarsudi sanagat kuciwa,-1
1.9847798614840607e+18,5. sirna dan segala upaya dilakukan agar dia kembali jadi @Menlu_RI.,2025-11-02 00:29:29+00:00,sirna upaya menlu_ri,0
1.9841941211926607e+18,@jacobincambodia Usir Dubes Kamboja pak @Menlu_RI @Kemlu_RI,2025-11-02 01:48:40+00:00,jacobincambodia usir dubes kamboja menlu_ri kemlu_ri,0
