Topic,Count,Name,Representation,Representative_Docs
9,79,9_beradab_mengecam_nicolas_keluarkan,"['beradab', 'mengecam', 'nicolas', 'keluarkan', 'sebagian', 'maduro', 'bangsa', 'besar', 'menculik', 'pemimpin']","['sebagian besar pemimpin bangsa beradab sudah keluarkan pernyataan mengecam presiden as trump karena menculik presiden venezuela nicolas maduro presiden indonesia', 'sebagian besar pemimpin bangsa beradab sudah keluarkan pernyataan mengecam presiden as trump karena menculik presiden venezuela nicolas maduro presiden indonesia', 'sebagian besar pemimpin bangsa beradab sudah keluarkan pernyataan mengecam presiden as trump karena menculik presiden venezuela nicolas maduro presiden indonesia']"
10,70,10_dubes_ri_miring_sy,"['dubes', 'ri', 'miring', 'sy', 'komentarnya', 'membela', 'usulkan', 'bersangkutan', 'melayani', 'pdhal']","['sbg anggota komisi sy usulkan kpd agar segera menarik n mengganti dubes ri di saudi yg bersangkutan sdh berada di sana hampir tahun komentarnya selalu miring soal habib rizieq shihab pdhal dubes ri seharusnya melayani melindungi n membela warga ri', 'sbg anggota komisi sy usulkan kpd agar segera menarik n mengganti dubes ri di saudi yg bersangkutan sdh berada di sana hampir tahun komentarnya selalu miring soal habib rizieq shihab pdhal dubes ri seharusnya melayani melindungi n membela warga ri', 'sbg anggota komisi sy usulkan kpd agar segera menarik n mengganti dubes ri di saudi yg bersangkutan sdh berada di sana hampir tahun komentarnya selalu miring soal habib rizieq shihab pdhal dubes ri seharusnya melayani melindungi n membela warga ri']"
11,65,11_gaza_palestina_israel_hamas,"['gaza', 'palestina', 'israel', 'hamas', 'perdamaian', 'gencatan', 'senjata', 'turki', 'tolak', 'pasukan']","['menlu turkiye hamas tunjukkan niat positif untuk perdamaian gaza permanen israel harus miliki sikap sama', 'menlu ri buka suara soal israel tolak pasukan perdamaian turki di gaza', 'menlu turki hamas siap gencatan senjata permanen di gaza']"
12,64,12_india_kemlu_sugiono_negeri,"['india', 'kemlu', 'sugiono', 'negeri', 'sumatera', 'indonesia', 'ktt', 'kemenlu', 'investasi', 'kroasia']","['menteri luar negeri menlu sugiono secara resmi melepas ton bantuan kemanusiaan untuk korban bencana di tiga provinsi aceh sumatera utara dan sumatera barat dalam sebuah acara di kantor kemlu ri jakarta pada jumat siang bantuan yang dikumpulkan dari para', 'menlu sugiono menjadi salah pembicara di ktt aseanindia ke di kuala lumpur malaysia dlm pidatonya sugiono berbicara peluang indonesia amp india bekerja sama dlm mengerjakan programmakan bergizi gratis pertemuan berlangsung minggu ini dihadiri pm india', 'menlu sugiono mewakili presiden prabowo subianto dalam ktt aseanindia ke di kuala lumpur malaysia dalam pidatonya sugiono menyoroti peluang kerja sama antara indonesia dan india dalam program mbg _']"
13,63,13_emanglah_menghabisi_radarada_politisi,"['emanglah', 'menghabisi', 'radarada', 'politisi', 'koruptor', 'bukannya', 'nunggu', 'tempat', 'ngapain', 'seharusnya']","['bukannya dia udah di tempat yang seharusnya bisa menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah radarada semua', 'bukannya dia udah di tempat yang seharusnya bisa menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah radarada semua', 'bukannya dia udah di tempat yang seharusnya bisa menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah radarada semua']"
14,63,14_emanglah_menghabisi_radarada_politisi,"['emanglah', 'menghabisi', 'radarada', 'politisi', 'koruptor', 'bukannya', 'nunggu', 'tempat', 'ngapain', 'seharusnya']","['bukannya dia udah di tempat yang seharusnya bisa menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah radarada semua', 'bukannya dia udah di tempat yang seharusnya bisa menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah radarada semua', 'bukannya dia udah di tempat yang seharusnya bisa menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah radarada semua']"
15,63,15_dibandingin_atau_dikomentari_donnie,"['dibandingin', 'atau', 'dikomentari', 'donnie', 'pengamatan', 'manteman', 'syahrir', 'kejauhan', 'barusan', 'silakan']","['gara invasi donnie ke venezuela jangan kejauhan dibandingin dengan syahrir atau agus salim atau adam malik deh coba dibandingin sama yg paling deket barusan retno marsudi silakan dikomentari kinerja menlu kita sesuai pengamatan manteman', 'gara invasi donnie ke venezuela jangan kejauhan dibandingin dengan syahrir atau agus salim atau adam malik deh coba dibandingin sama yg paling deket barusan retno marsudi silakan dikomentari kinerja menlu kita sesuai pengamatan manteman', 'gara invasi donnie ke venezuela jangan kejauhan dibandingin dengan syahrir atau agus salim atau adam malik deh coba dibandingin sama yg paling deket barusan retno marsudi silakan dikomentari kinerja menlu kita sesuai pengamatan manteman']"
16,62,16_bapak_kasad_bekerjasama_tni,"['bapak', 'kasad', 'bekerjasama', 'tni', 'beserta', 'tertimpa', 'membahu', 'hormat', 'ad', 'bahu']","['atas perintah bapak presiden tni ad bergerak cepat dalam upaya penanganan serta pemulihan bagi saudara kita yg tertimpa bencana hormat dan bangga bapak kasad tni beserta seluruh jajaran yg bahu membahu dan bekerjasama', 'atas perintah bapak presiden tni ad bergerak cepat dalam upaya penanganan serta pemulihan bagi saudara kita yg tertimpa bencana hormat dan bangga bapak kasad tni beserta seluruh jajaran yg bahu membahu dan bekerjasama', 'atas perintah bapak presiden tni ad bergerak cepat dalam upaya penanganan serta pemulihan bagi saudara kita yg tertimpa bencana hormat dan bangga bapak kasad tni beserta seluruh jajaran yg bahu membahu dan bekerjasama']"
17,62,17_dg_jokowi_amsterdam_paris,"['dg', 'jokowi', 'amsterdam', 'paris', 'bersihkan', 'bertanya', 'diaspora', 'jawaban', 'sigit', 'orangorang']","['dari diskusi dg diaspora di amsterdam dan paris semua bertanya ada apa dg presiden sehingga tdk berani bersihkan orangorang jokowi terutama kapolri jawaban saya hanya allah prabowo jokowi dan sigit yang tahu', 'dari diskusi dg diaspora di amsterdam dan paris semua bertanya ada apa dg presiden sehingga tdk berani bersihkan orangorang jokowi terutama kapolri jawaban saya hanya allah prabowo jokowi dan sigit yang tahu', 'dari diskusi dg diaspora di amsterdam dan paris semua bertanya ada apa dg presiden sehingga tdk berani bersihkan orangorang jokowi terutama kapolri jawaban saya hanya allah prabowo jokowi dan sigit yang tahu']"
18,61,18_menlu_nya_gblk_apa,"['menlu', 'nya', 'gblk', 'apa', 'belum', 'min', 'menkeu', 'gak', 'org', 'kan']","['menlu berkata blm perlu wah malulah kaliannn udah separsh apa diaceh ituuu', 'menlu bisa apa', 'menlu nya bisa di aja gak']"
19,60,19_juga_lu_gak_kayak,"['juga', 'lu', 'gak', 'kayak', 'nyuruh', 'masing', 'sawit', 'ya', 'kagak', 'tuh']","['mengadi negeri gimana lu gak teges pas ada ruu kuhp disahkan lu gak teges pas bencana dan lu juga yang punya lahan sawit dengan luas hektar dan lu presiden dan punya sawit jujur gw takut qrt gini bentar gw gembokan dulu', 'ga nyuruh jd presiden juga si', 'gak ada yg nyuruh juga lu jadi presiden gausa ngeluh semua orang juga kerja tupoksi nya masing masing']"
20,59,20_suruh_siapa_jadi_tua,"['suruh', 'siapa', 'jadi', 'tua', 'lah', 'dukung', 'ngotot', 'lansia', 'lagian', 'presiden']","['lah siapa suruh jadi presiden', 'lah siapa suruh jadi presiden', 'suruh siapa jadi presiden']"
21,58,21_kerja_yu_mulu_dikitdikit,"['kerja', 'yu', 'mulu', 'dikitdikit', 'rodi', 'bang', 'definisi', 'capek', 'ya', 'keras']","['harus kerja ya', 'saatnya kerja kerja kerja', 'kerja']"
22,57,22_dubes_ri_miring_komentarnya,"['dubes', 'ri', 'miring', 'komentarnya', 'usulkan', 'membela', 'bersangkutan', 'melayani', 'melindungi', 'pdhal']","['sbg anggota komisi sy usulkan kpd agar segera menarik n mengganti dubes ri di saudi yg bersangkutan sdh berada di sana hampir tahun komentarnya selalu miring soal habib rizieq shihab pdhal dubes ri seharusnya melayani melindungi n membela warga ri', 'sbg anggota komisi sy usulkan kpd agar segera menarik n mengganti dubes ri di saudi yg bersangkutan sdh berada di sana hampir tahun komentarnya selalu miring soal habib rizieq shihab pdhal dubes ri seharusnya melayani melindungi n membela warga ri', 'sbg anggota komisi sy usulkan kpd agar segera menarik n mengganti dubes ri di saudi yg bersangkutan sdh berada di sana hampir tahun komentarnya selalu miring soal habib rizieq shihab pdhal dubes ri seharusnya melayani melindungi n membela warga ri']"
23,56,23_dg_jokowi_amsterdam_paris,"['dg', 'jokowi', 'amsterdam', 'paris', 'bersihkan', 'bertanya', 'diaspora', 'jawaban', 'sigit', 'orangorang']","['dari diskusi dg diaspora di amsterdam dan paris semua bertanya ada apa dg presiden sehingga tdk berani bersihkan orangorang jokowi terutama kapolri jawaban saya hanya allah prabowo jokowi dan sigit yang tahu', 'dari diskusi dg diaspora di amsterdam dan paris semua bertanya ada apa dg presiden sehingga tdk berani bersihkan orangorang jokowi terutama kapolri jawaban saya hanya allah prabowo jokowi dan sigit yang tahu', 'dari diskusi dg diaspora di amsterdam dan paris semua bertanya ada apa dg presiden sehingga tdk berani bersihkan orangorang jokowi terutama kapolri jawaban saya hanya allah prabowo jokowi dan sigit yang tahu']"
24,54,24_dgn_as_yg_tidak,"['dgn', 'as', 'yg', 'tidak', 'berpendirian', 'bermitra', 'sungkantakut', 'iraq', 'penurut', 'south']","['saya heran membaca pernyataan re venezuela yg sangat standar dan sama sekali tidak menyebut amerika serikat sejak kapan kita sungkantakut mengkritik kawan yg lakukan pelanggaran hukum internasional kenapa menlu sugiono sampai sekarang tidak bersuara padahal dunia menunggu pandangan sbg pemain global south yg penting ini momen perlu percaya diri menunjukkan sikap sama ketika kita dulu menentang invasi as thdp iraq bebas aktif itu artinya berani berpendirian bermitra dgn as dan dgn negara manapun tidak boleh menjadikan negara penurut yg mengorbankan hal yg prinsipil', 'saya heran membaca pernyataan re venezuela yg sangat standar dan sama sekali tidak menyebut amerika serikat sejak kapan kita sungkantakut mengkritik kawan yg lakukan pelanggaran hukum internasional kenapa menlu sugiono sampai sekarang tidak bersuara padahal dunia menunggu pandangan sbg pemain global south yg penting ini momen perlu percaya diri menunjukkan sikap sama ketika kita dulu menentang invasi as thdp iraq bebas aktif itu artinya berani berpendirian bermitra dgn as dan dgn negara manapun tidak boleh menjadikan negara penurut yg mengorbankan hal yg prinsipil', 'saya heran membaca pernyataan re venezuela yg sangat standar dan sama sekali tidak menyebut amerika serikat sejak kapan kita sungkantakut mengkritik kawan yg lakukan pelanggaran hukum internasional kenapa menlu sugiono sampai sekarang tidak bersuara padahal dunia menunggu pandangan sbg pemain global south yg penting ini momen perlu percaya diri menunjukkan sikap sama ketika kita dulu menentang invasi as thdp iraq bebas aktif itu artinya berani berpendirian bermitra dgn as dan dgn negara manapun tidak boleh menjadikan negara penurut yg mengorbankan hal yg prinsipil']"
25,51,25_sekolah_rakyat_kesehatan_makin,"['sekolah', 'rakyat', 'kesehatan', 'makin', 'gratis', 'lewat', 'mbg', 'prabowo', 'skrining', 'buktiin']","['presiden prabowo selalu support inovasi pendidikan sekolah rakyat jadi bukti nyata', 'presiden prabowo buktiin pendidikan bisa jadi kunci keluar dari kemiskinan lewat sekolah rakyat', 'presiden prabowo buktikan komitmen lewat sekolah rakyat rakyat makin percaya diri']"
26,51,26_dgn_as_yg_tidak,"['dgn', 'as', 'yg', 'tidak', 'berpendirian', 'bermitra', 'sungkantakut', 'iraq', 'penurut', 'south']","['saya heran membaca pernyataan re venezuela yg sangat standar dan sama sekali tidak menyebut amerika serikat sejak kapan kita sungkantakut mengkritik kawan yg lakukan pelanggaran hukum internasional kenapa menlu sugiono sampai sekarang tidak bersuara padahal dunia menunggu pandangan sbg pemain global south yg penting ini momen perlu percaya diri menunjukkan sikap sama ketika kita dulu menentang invasi as thdp iraq bebas aktif itu artinya berani berpendirian bermitra dgn as dan dgn negara manapun tidak boleh menjadikan negara penurut yg mengorbankan hal yg prinsipil', 'saya heran membaca pernyataan re venezuela yg sangat standar dan sama sekali tidak menyebut amerika serikat sejak kapan kita sungkantakut mengkritik kawan yg lakukan pelanggaran hukum internasional kenapa menlu sugiono sampai sekarang tidak bersuara padahal dunia menunggu pandangan sbg pemain global south yg penting ini momen perlu percaya diri menunjukkan sikap sama ketika kita dulu menentang invasi as thdp iraq bebas aktif itu artinya berani berpendirian bermitra dgn as dan dgn negara manapun tidak boleh menjadikan negara penurut yg mengorbankan hal yg prinsipil', 'saya heran membaca pernyataan re venezuela yg sangat standar dan sama sekali tidak menyebut amerika serikat sejak kapan kita sungkantakut mengkritik kawan yg lakukan pelanggaran hukum internasional kenapa menlu sugiono sampai sekarang tidak bersuara padahal dunia menunggu pandangan sbg pemain global south yg penting ini momen perlu percaya diri menunjukkan sikap sama ketika kita dulu menentang invasi as thdp iraq bebas aktif itu artinya berani berpendirian bermitra dgn as dan dgn negara manapun tidak boleh menjadikan negara penurut yg mengorbankan hal yg prinsipil']"
27,51,27_emanglah_menghabisi_radarada_politisi,"['emanglah', 'menghabisi', 'radarada', 'politisi', 'koruptor', 'bukannya', 'nunggu', 'tempat', 'ngapain', 'seharusnya']","['bukannya dia udah di tempat yang seharusnya bisa menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah radarada semua', 'bukannya dia udah di tempat yang seharusnya bisa menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah radarada semua', 'bukannya dia udah di tempat yang seharusnya bisa menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah radarada semua']"
28,49,28_wn_brutal_terancam_area,"['wn', 'brutal', 'terancam', 'area', 'bersenjata', 'tambang', 'aksi', 'emas', 'serang', 'kedaulatan']","['kedaulatan negara sudah terancam secara nyata aksi brutal wn china bersenjata serang tni di area tambang emas', 'kedaulatan negara sudah terancam secara nyata aksi brutal wn china bersenjata serang tni di area tambang emas', 'kedaulatan negara sudah terancam secara nyata aksi brutal wn china bersenjata serang tni di area tambang emas']"
29,48,29_kerja_gue_spm_banyak,"['kerja', 'gue', 'spm', 'banyak', 'ding', 'balik', 'nak', 'bete', 'ani', 'buat']","['hari ini rencananya cari cuan buat masa depan dangdut banget alias kerja kerja kerja hbu dd kapan comeback lagi', 'jadi kucing hari ini disaat gue lagi kerja buat beliin ciken ayem fain gwencana ding ding ding hamin', 'kalo duit buat lonte mu kurang ya kau kerja blok bukan malah nuntut orang bego royalti segitu banyak masih kurang kah duitnya buat nyawer ani ani']"
30,48,30_dgn_as_yg_tidak,"['dgn', 'as', 'yg', 'tidak', 'berpendirian', 'bermitra', 'sungkantakut', 'iraq', 'penurut', 'south']","['saya heran membaca pernyataan re venezuela yg sangat standar dan sama sekali tidak menyebut amerika serikat sejak kapan kita sungkantakut mengkritik kawan yg lakukan pelanggaran hukum internasional kenapa menlu sugiono sampai sekarang tidak bersuara padahal dunia menunggu pandangan sbg pemain global south yg penting ini momen perlu percaya diri menunjukkan sikap sama ketika kita dulu menentang invasi as thdp iraq bebas aktif itu artinya berani berpendirian bermitra dgn as dan dgn negara manapun tidak boleh menjadikan negara penurut yg mengorbankan hal yg prinsipil', 'saya heran membaca pernyataan re venezuela yg sangat standar dan sama sekali tidak menyebut amerika serikat sejak kapan kita sungkantakut mengkritik kawan yg lakukan pelanggaran hukum internasional kenapa menlu sugiono sampai sekarang tidak bersuara padahal dunia menunggu pandangan sbg pemain global south yg penting ini momen perlu percaya diri menunjukkan sikap sama ketika kita dulu menentang invasi as thdp iraq bebas aktif itu artinya berani berpendirian bermitra dgn as dan dgn negara manapun tidak boleh menjadikan negara penurut yg mengorbankan hal yg prinsipil', 'saya heran membaca pernyataan re venezuela yg sangat standar dan sama sekali tidak menyebut amerika serikat sejak kapan kita sungkantakut mengkritik kawan yg lakukan pelanggaran hukum internasional kenapa menlu sugiono sampai sekarang tidak bersuara padahal dunia menunggu pandangan sbg pemain global south yg penting ini momen perlu percaya diri menunjukkan sikap sama ketika kita dulu menentang invasi as thdp iraq bebas aktif itu artinya berani berpendirian bermitra dgn as dan dgn negara manapun tidak boleh menjadikan negara penurut yg mengorbankan hal yg prinsipil']"
31,47,31_gif_aja_jadi_kalo,"['gif', 'aja', 'jadi', 'kalo', 'gitu', 'ganti', 'ga', 'gamau', 'kan', 'presiden']","['presiden amp prabowo merupakan hal yg berbeda jd kalo kritik presiden prabowo ya sah aja krn orang nya suka rela nyalon jd presiden justru aneh kali ada orang yg ngefans sama presiden', 'kalo bapak gua jadi presiden jg bisa gua ini ngomong kek gini gausah jadi presiden dah masih idup aja udh syukur guaa', 'apaan ini dibalas dengan gif presiden ke ini gif ini ngeri lho suruh siapa kamu bilang gitu mau gif ini kejadian di depan anak saya sih mau aja biar anak qt pada takut sama presiden tapi kalau anak pada diem bae setelah gif ini kejadian jangan salahin kita']"
32,47,32_dipukul_priuk_warsidi_jamaah,"['dipukul', 'priuk', 'warsidi', 'jamaah', 'lawannya', 'contohnya', 'islam', 'orba', 'jaman', 'peristiwa']","['kalau jaman orba nih tni dipukul mundur gini ga lama balik lagi bawa pasukan ratusan orang contohnya saat peristiwa priuk dan jamaah warsidi apakah karena lawannya bukan orang islam dan bukan wni', 'kalau jaman orba nih tni dipukul mundur gini ga lama balik lagi bawa pasukan ratusan orang contohnya saat peristiwa priuk dan jamaah warsidi apakah karena lawannya bukan orang islam dan bukan wni', 'kalau jaman orba nih tni dipukul mundur gini ga lama balik lagi bawa pasukan ratusan orang contohnya saat peristiwa priuk dan jamaah warsidi apakah karena lawannya bukan orang islam dan bukan wni']"
33,46,33_hrs_saudi_arabia_dipojokkan,"['hrs', 'saudi', 'arabia', 'dipojokkan', 'ironis', 'reynhard', 'ahlanwasahlanibhrs', 'kriminal', 'super', 'sungguh']","['reynhard di inggris yg jelas super kriminal n memalukan indonesia diberi bantuan hukum habib rizieq shihab hrs di saudi arabia malah dipojokkan pernyataan menko n dubes ri di saudi sungguh tak adil n ironis selamat datang hrs ahlanwasahlanibhrs', 'reynhard di inggris yg jelas super kriminal n memalukan indonesia diberi bantuan hukum habib rizieq shihab hrs di saudi arabia malah dipojokkan pernyataan menko n dubes ri di saudi sungguh tak adil n ironis selamat datang hrs ahlanwasahlanibhrs', 'reynhard di inggris yg jelas super kriminal n memalukan indonesia diberi bantuan hukum habib rizieq shihab hrs di saudi arabia malah dipojokkan pernyataan menko n dubes ri di saudi sungguh tak adil n ironis selamat datang hrs ahlanwasahlanibhrs']"
34,46,34_dibandingin_atau_dikomentari_donnie,"['dibandingin', 'atau', 'dikomentari', 'donnie', 'pengamatan', 'syahrir', 'manteman', 'kejauhan', 'malik', 'adam']","['gara invasi donnie ke venezuela jangan kejauhan dibandingin dengan syahrir atau agus salim atau adam malik deh coba dibandingin sama yg paling deket barusan retno marsudi silakan dikomentari kinerja menlu kita sesuai pengamatan manteman', 'gara invasi donnie ke venezuela jangan kejauhan dibandingin dengan syahrir atau agus salim atau adam malik deh coba dibandingin sama yg paling deket barusan retno marsudi silakan dikomentari kinerja menlu kita sesuai pengamatan manteman', 'gara invasi donnie ke venezuela jangan kejauhan dibandingin dengan syahrir atau agus salim atau adam malik deh coba dibandingin sama yg paling deket barusan retno marsudi silakan dikomentari kinerja menlu kita sesuai pengamatan manteman']"
35,46,35_ladang_tangerang_jagung_bantarpanjang,"['ladang', 'tangerang', 'jagung', 'bantarpanjang', 'ditumbuhi', 'tigaraksa', 'terbengkalai', 'polresta', 'rumput', 'diresmikan']","['polresta tangerang akan melakukan evaluasi terhadap ladang jagung yang terbengkalai dan ditumbuhi rumput liar di desa bantarpanjang kecamatan tigaraksa kabupaten tangerang banten ladang jagung ini sebelumnya diresmikan wakil presiden ri gibran rakabuming raka untuk program', 'polresta tangerang akan melakukan evaluasi terhadap ladang jagung yang terbengkalai dan ditumbuhi rumput liar di desa bantarpanjang kecamatan tigaraksa kabupaten tangerang banten ladang jagung ini sebelumnya diresmikan wakil presiden ri gibran rakabuming raka untuk program', 'polresta tangerang akan melakukan evaluasi terhadap ladang jagung yang terbengkalai dan ditumbuhi rumput liar di desa bantarpanjang kecamatan tigaraksa kabupaten tangerang banten ladang jagung ini sebelumnya diresmikan wakil presiden ri gibran rakabuming raka untuk program']"
36,45,36_pembenci_mohon_maaf_bagi,"['pembenci', 'mohon', 'maaf', 'bagi', 'para', 'presiden', '', '', '', '']","['mohon maaf bagi para pembenci presiden', 'mohon maaf bagi para pembenci presiden', 'mohon maaf bagi para pembenci presiden']"
